phase,experiment,architecture_id,dataset,dataset_config,encoder,F,seed,validation_accuracy,validation_binding_score,test_accuracy,test_binding_score,primary_accuracy,maximum_logged_validation_accuracy,maximum_logged_validation_binding,entered_normalized_binding_regime,entered_regime_050,high_test_success_080,success,present_value_baseline,global_chance_accuracy,d_input,d_model,n_layers,n_heads,head_dim,inner_dim,d_ff,parameter_count,batch_size,max_steps,final_step,learning_rate,weight_decay,elapsed_seconds,final_gradient_norm_before_clipping,final_q_rms,final_k_rms,final_v_rms,final_attention_logit_std,final_attention_entropy,final_attention_max_probability,learning_curve_csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,200,0.993408203125,0.9901123046875,,,0.993408203125,0.993896484375,0.9908447265625,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,820.3665511608124,0.5490142703056335,1.332222233215968,1.3932283719380696,0.7365999023119608,5.146171351273854,0.3976956705252329,0.8417216738065084,agnews_capacity_mapping_H8_D32_F3_seed200.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,201,0.99560546875,0.993408203125,,,0.99560546875,0.996337890625,0.9945068359375,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,824.5255401134491,1.3333854675292969,1.2793458104133606,1.415215144554774,0.7340151071548462,5.101461013158162,0.3908050805330276,0.8437988658746084,agnews_capacity_mapping_H8_D32_F3_seed201.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,202,0.994384765625,0.9915771484375,,,0.994384765625,0.994384765625,0.9915771484375,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,827.7546184062958,1.5181843042373655,1.2878425518671672,1.3832460045814514,0.757078101237615,5.035299857457479,0.3827863534291585,0.8467453221480051,agnews_capacity_mapping_H8_D32_F3_seed202.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,203,0.99609375,0.994140625,,,0.99609375,0.996826171875,0.9952392578125,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,824.9737541675568,1.2846986055374146,1.4025851289431257,1.411432276169459,0.7316055297851562,5.692592581113179,0.352732573946317,0.8551732103029887,agnews_capacity_mapping_H8_D32_F3_seed203.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,204,0.997314453125,0.9959716796875,,,0.997314453125,0.997314453125,0.9959716796875,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,822.8352904319763,0.8493053913116455,1.3343871533870697,1.3741246859232583,0.7396733264128367,5.082544128100078,0.3827878932158152,0.8470641076564789,agnews_capacity_mapping_H8_D32_F3_seed204.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,205,0.9951171875,0.99267578125,,,0.9951171875,0.995361328125,0.9930419921875,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,824.432425737381,0.7991877794265747,1.3068396548430126,1.3679781953493757,0.72740771373113,5.059680302937825,0.3962834527095158,0.841833233833313,agnews_capacity_mapping_H8_D32_F3_seed205.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,206,0.99462890625,0.991943359375,,,0.99462890625,0.9951171875,0.99267578125,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,828.2575309276581,0.357597678899765,1.327986439069112,1.398144801457723,0.7230573495229086,5.013798634211223,0.3973725313941638,0.8397179941336314,agnews_capacity_mapping_H8_D32_F3_seed206.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,207,0.996337890625,0.9945068359375,,,0.996337890625,0.996337890625,0.9945068359375,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,827.1193296909332,0.4526752233505249,1.328317403793335,1.3736076553662615,0.712466170390447,5.165721833705902,0.4149474104245503,0.8316797912120819,agnews_capacity_mapping_H8_D32_F3_seed207.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,208,0.99560546875,0.993408203125,,,0.99560546875,0.99560546875,0.993408203125,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,833.1040697097778,1.4658876657485962,1.325069119532903,1.3719054559866588,0.7355837722619375,4.976483782132466,0.3721968779961268,0.8506479660669962,agnews_capacity_mapping_H8_D32_F3_seed208.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,3,209,0.994873046875,0.9923095703125,,,0.994873046875,0.9951171875,0.99267578125,True,True,False,True,0.3333333333333333,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,841.3739738464355,0.1507484763860702,1.3588115473588307,1.3706598778565724,0.7228093147277832,5.0546728571256,0.4125531415144602,0.8324573040008545,agnews_capacity_mapping_H8_D32_F3_seed209.csv
