phase,experiment,architecture_id,dataset,dataset_config,encoder,F,seed,validation_accuracy,validation_binding_score,test_accuracy,test_binding_score,primary_accuracy,maximum_logged_validation_accuracy,maximum_logged_validation_binding,entered_normalized_binding_regime,test_normalized_binding_regime,high_test_success_080,success,normalized_binding_regime_threshold,raw_equivalent_validation_threshold,present_value_baseline,global_chance_accuracy,d_input,d_model,n_layers,n_heads,head_dim,inner_dim,d_ff,parameter_count,batch_size,max_steps,final_step,learning_rate,weight_decay,elapsed_seconds,final_gradient_norm_before_clipping,final_q_rms,final_k_rms,final_v_rms,final_attention_logit_std,final_attention_entropy,final_attention_max_probability,learning_curve_csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,300,0.16357421875,-0.0037109374999999,0.169921875,0.00390625,0.169921875,0.180419921875,0.01650390625,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1097.104336977005,3.477508306503296,0.7391591717799505,0.9603386322657268,0.4356047213077545,2.166516184806824,1.2912171880404155,0.4637043327093124,agnews_external_confirmation_F6_H8_D32_F6_seed300.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,301,0.1611328125,-0.0066406249999999,0.163818359375,-0.0034179687499999,0.163818359375,0.180419921875,0.01650390625,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.782618522644,3.604227304458618,0.7673467596371969,1.0058602094650269,0.4320275982220967,2.385522186756134,1.2782767216364543,0.4730086624622345,agnews_external_confirmation_F6_H8_D32_F6_seed301.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,302,0.171875,0.00625,0.172607421875,0.00712890625,0.172607421875,0.17822265625,0.0138671875,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.95232796669,3.573551893234253,0.7256896992524465,1.0033091108004253,0.4280187934637069,2.332992931207021,1.3062869608402252,0.458451787630717,agnews_external_confirmation_F6_H8_D32_F6_seed302.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,303,0.167724609375,0.00126953125,0.175048828125,0.01005859375,0.175048828125,0.17431640625,0.0091796875,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.0304987430573,3.3038880825042725,0.7640420496463776,0.989787389834722,0.4343757977088292,2.386325021584829,1.2647806803385415,0.4748477588097254,agnews_external_confirmation_F6_H8_D32_F6_seed303.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,304,0.167724609375,0.00126953125,0.16455078125,-0.0025390624999999,0.16455078125,0.176025390625,0.01123046875,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1098.5062046051023,3.3896689414978027,0.7567561566829681,0.972000946601232,0.4351687431335449,2.1696837345759072,1.2708468635876973,0.4758160610993703,agnews_external_confirmation_F6_H8_D32_F6_seed304.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,305,0.162841796875,-0.0045898437499999,0.16748046875,0.0009765625,0.16748046875,0.174072265625,0.00888671875,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1097.8632717132568,3.486566066741944,0.723677525917689,0.9587468107541404,0.4253912170728047,2.08555480837822,1.304999033610026,0.4536107381184895,agnews_external_confirmation_F6_H8_D32_F6_seed305.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,306,0.1611328125,-0.0066406249999999,0.168212890625,0.00185546875,0.168212890625,0.177734375,0.01328125,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.4222412109375,3.29451322555542,0.7338880002498627,0.985985944668452,0.4234958241383235,2.2884910802046456,1.277140220006307,0.4693162937959035,agnews_external_confirmation_F6_H8_D32_F6_seed306.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,307,0.16357421875,-0.0037109374999999,0.166015625,-0.0007812499999999,0.166015625,0.177734375,0.01328125,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.5050435066223,3.614543437957764,0.7627021074295044,0.9936606784661612,0.4427005499601364,2.3873605926831565,1.2598379254341123,0.4793435980876286,agnews_external_confirmation_F6_H8_D32_F6_seed307.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,308,0.783935546875,0.74072265625,0.789306640625,0.74716796875,0.789306640625,0.783935546875,0.74072265625,True,True,False,True,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1098.575652360916,12.231432914733888,2.008206158876419,1.9625792900721235,0.5661847790082296,17.58778727054596,0.4461892545223236,0.8211277921994528,agnews_external_confirmation_F6_H8_D32_F6_seed308.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,309,0.9326171875,0.919140625,0.932861328125,0.91943359375,0.932861328125,0.9326171875,0.919140625,True,True,True,True,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1093.978749036789,3.5624260902404785,1.8267573217550916,1.9142807523409529,0.5616873701413473,14.466947734355928,0.407394178211689,0.838370809952418,agnews_external_confirmation_F6_H8_D32_F6_seed309.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,310,0.164306640625,-0.0028320312499999,0.17919921875,0.0150390625,0.17919921875,0.176025390625,0.01123046875,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1099.6735169887545,3.5013582706451416,0.7334195375442505,1.0131555795669556,0.4260125557581584,2.388871520757675,1.3070776561896007,0.4496287753184636,agnews_external_confirmation_F6_H8_D32_F6_seed310.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,311,0.159423828125,-0.0086914062499999,0.1689453125,0.002734375,0.1689453125,0.173583984375,0.00830078125,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1100.3634650707245,3.251222848892212,0.7273605366547903,0.993985672791799,0.4329845408598582,2.292098273833593,1.295301516850789,0.461745614806811,agnews_external_confirmation_F6_H8_D32_F6_seed311.csv
agnews_external_confirmation_F6,preregistered_agnews_external_confirmation_F6,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,312,0.16943359375,0.0033203125,0.163330078125,-0.0040039062499999,0.163330078125,0.18017578125,0.0162109375,False,False,False,False,0.4166666666666667,0.513888888888889,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25447936,256,20000,20000,0.0001,0.0001,1100.2309713363647,3.484940767288208,0.8234115839004517,1.0113376379013062,0.4374261647462845,2.6458715001742044,1.1677720944086711,0.5449594805637995,agnews_external_confirmation_F6_H8_D32_F6_seed312.csv
