architecture_id,step,cumulative_regime_entry_probability
H8_D32,1000,0.0
H8_D32,2000,0.0
H8_D32,3000,0.0
H8_D32,4000,0.0
H8_D32,5000,0.0
H8_D32,6000,0.0
H8_D32,7000,0.0
H8_D32,8000,0.0
H8_D32,9000,0.008333333333333333
H8_D32,10000,0.008333333333333333
H8_D32,11000,0.008333333333333333
H8_D32,12000,0.016666666666666666
H8_D32,13000,0.03333333333333333
H8_D32,14000,0.03333333333333333
H8_D32,15000,0.05
H8_D32,16000,0.06666666666666667
H8_D32,17000,0.08333333333333333
H8_D32,18000,0.08333333333333333
H8_D32,19000,0.08333333333333333
H8_D32,20000,0.08333333333333333
H8_D64,1000,0.0
H8_D64,2000,0.0
H8_D64,3000,0.0
H8_D64,4000,0.0
H8_D64,5000,0.008333333333333333
H8_D64,6000,0.025
H8_D64,7000,0.041666666666666664
H8_D64,8000,0.05
H8_D64,9000,0.09166666666666666
H8_D64,10000,0.11666666666666667
H8_D64,11000,0.16666666666666666
H8_D64,12000,0.19166666666666668
H8_D64,13000,0.21666666666666667
H8_D64,14000,0.23333333333333334
H8_D64,15000,0.23333333333333334
H8_D64,16000,0.23333333333333334
H8_D64,17000,0.25
H8_D64,18000,0.25833333333333336
H8_D64,19000,0.25833333333333336
H8_D64,20000,0.25833333333333336
