contrast,outcome,architecture_a,architecture_b,paired_seeds,mean_difference_a_minus_b,median_difference_a_minus_b,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_a,ties,losses_a
width_effect_at_8_heads,final_test_accuracy,H8_D64,H8_D32,10,0.1825927734375,0.009033203125,-0.037015380859374995,0.4191656494140625,0.169921875,6,0,4
width_effect_at_8_heads,maximum_validation_accuracy,H8_D64,H8_D32,10,0.1764892578125,0.001708984375,-0.0562762451171875,0.4203881835937498,0.166015625,7,0,3
width_effect_at_8_heads,normalized_validation_auc,H8_D64,H8_D32,10,0.10031545538651317,0.0008673416940789408,-0.009833984375000007,0.23083076878597827,0.171875,5,0,5
width_effect_at_8_heads,accuracy_at_5000,H8_D64,H8_D32,10,0.001123046875,0.0006103515625,-0.0016845703125,0.0038818359375,0.451171875,6,0,4
width_effect_at_8_heads,accuracy_at_10000,H8_D64,H8_D32,10,0.0885009765625,0.0006103515625,-0.0030029296875,0.25141845703124976,0.390625,5,0,5
width_effect_at_8_heads,late_gain_15000_to_final,H8_D64,H8_D32,10,-0.014013671875,-0.0030517578125,-0.0796392822265625,0.032080688476562445,0.83984375,3,1,6
width_effect_at_16_heads,final_test_accuracy,H16_D64,H16_D32,10,0.0187255859375,0.0025634765625,-0.1858514404296875,0.18349670410156246,0.8359375,6,0,4
width_effect_at_16_heads,maximum_validation_accuracy,H16_D64,H16_D32,10,0.021484375,0.0010986328125,-0.18357666015625,0.19372802734374978,0.806640625,5,0,5
width_effect_at_16_heads,normalized_validation_auc,H16_D64,H16_D32,10,-0.0001233552631578816,0.0009219520970394912,-0.08037122224506577,0.0625206555818256,0.990234375,6,0,4
width_effect_at_16_heads,accuracy_at_5000,H16_D64,H16_D32,10,0.0006591796875,0.0020751953125,-0.0022955322265624995,0.0032470703125,0.66796875,7,0,3
width_effect_at_16_heads,accuracy_at_10000,H16_D64,H16_D32,10,0.002490234375,0.0037841796875,-0.0010498046875,0.0056396484375,0.201171875,7,0,3
width_effect_at_16_heads,late_gain_15000_to_final,H16_D64,H16_D32,10,0.031396484375,0.00634765625,0.00126953125,0.06396484375,0.103515625,7,0,3
head_effect_at_width_32,final_test_accuracy,H16_D32,H8_D32,10,0.0285888671875,0.0047607421875,-0.1384765625,0.22529357910156245,0.70703125,7,0,3
head_effect_at_width_32,maximum_validation_accuracy,H16_D32,H8_D32,10,0.021435546875,-0.001708984375,-0.157958984375,0.224560546875,0.97265625,3,0,7
head_effect_at_width_32,normalized_validation_auc,H16_D32,H8_D32,10,0.015801680715460516,-0.00025056537828947734,-0.04146094071237667,0.08924949244449012,0.78125,5,0,5
head_effect_at_width_32,accuracy_at_5000,H16_D32,H8_D32,10,0.000830078125,0.0006103515625,-0.0025390625,0.00400390625,0.650390625,5,0,5
head_effect_at_width_32,accuracy_at_10000,H16_D32,H8_D32,10,-0.00234375,-0.00244140625,-0.005859375,0.0009765625,0.234375,3,1,6
head_effect_at_width_32,late_gain_15000_to_final,H16_D32,H8_D32,10,-0.031396484375,-0.0020751953125,-0.0965576171875,0.006885375976562446,0.47265625,4,0,6
head_effect_at_width_64,final_test_accuracy,H16_D64,H8_D64,10,-0.1352783203125,-0.05126953125,-0.31572387695312504,0.016309204101562447,0.1875,4,0,6
head_effect_at_width_64,maximum_validation_accuracy,H16_D64,H8_D64,10,-0.1335693359375,-0.0347900390625,-0.31174621582031253,0.016652832031249787,0.189453125,2,0,8
head_effect_at_width_64,normalized_validation_auc,H16_D64,H8_D64,10,-0.08463712993421053,-0.007292094983552627,-0.18383085552014802,0.0011528577302631355,0.17578125,3,0,7
head_effect_at_width_64,accuracy_at_5000,H16_D64,H8_D64,10,0.0003662109375,0.001708984375,-0.00224609375,0.0027587890625,0.796875,6,1,3
head_effect_at_width_64,accuracy_at_10000,H16_D64,H8_D64,10,-0.0883544921875,0.0018310546875,-0.2527349853515625,0.0035888671875,0.4765625,7,0,3
head_effect_at_width_64,late_gain_15000_to_final,H16_D64,H8_D64,10,0.014013671875,0.0081787109375,-0.020899047851562498,0.0492919921875,0.470703125,6,0,4
